Test_ID,Hard_Cap,TGE_Allocation,Burn_Unit,Halving_Step,Initial_Reward,Mint_Cap,Epochs_Generated,TGE_Percentage,Initial_Mint_Cost,Final_Mint_Cost,Total_Valuation,Initial_Valuation,Warning_Messages,Notes
A1,1000000,1,1000000,25,20000,50000,,,,,,,,
A2,1000000,1,1000000,30,20000,50000,,,,,,,,
A3,1000000,1,1000000,35,20000,50000,,,,,,,,
A4,1000000,1,1000000,40,20000,50000,,,,,,,,
A5,1000000,1,1000000,45,20000,50000,,,,,,,,
A6,1000000,1,1000000,50,20000,50000,,,,,,,,
A7,1000000,1,1000000,55,20000,50000,,,,,,,,
A8,1000000,1,1000000,60,20000,50000,,,,,,,,
A9,1000000,1,1000000,65,20000,50000,,,,,,,,
A10,1000000,1,1000000,70,20000,50000,,,,,,,,
A11,1000000,1,1000000,75,20000,50000,,,,,,,,
A12,1000000,1,1000000,80,20000,50000,,,,,,,,
A13,1000000,1,1000000,85,20000,50000,,,,,,,,
A14,1000000,1,1000000,90,20000,50000,,,,,,,,
B1,1000000,1,100,50,20000,50000,,,,,,,,
B2,1000000,1,500,50,20000,50000,,,,,,,,
B3,1000000,1,1000,50,20000,50000,,,,,,,,
B4,1000000,1,5000,50,20000,50000,,,,,,,,
B5,1000000,1,10000,50,20000,50000,,,,,,,,
B6,1000000,1,50000,50,20000,50000,,,,,,,,
B7,1000000,1,100000,50,20000,50000,,,,,,,,
B8,1000000,1,500000,50,20000,50000,,,,,,,,
B9,1000000,1,1000000,50,20000,50000,,,,,,,,
B10,1000000,1,5000000,50,20000,50000,,,,,,,,
B11,1000000,1,10000000,50,20000,50000,,,,,,,,
C1,100000,1,1000000,50,50000,50000,,,,,,,,Small supply high reward
C2,100000,1,1000000,50,1000,50000,,,,,,,,Small supply low reward
C3,10000000,1,1000000,50,1000,50000,,,,,,,,Large supply low reward
C4,10000000,1,1000000,50,100000,50000,,,,,,,,Large supply high reward
C5,1000000,1,1000000,50,1,50000,,,,,,,,Minimal reward test
C6,1000000,1,100,50,1000000,50000,,,,,,,,Extreme reward test
D1,1000,1,100,25,1000,50000,,,,,,,,Minimum viable
D2,10000000,1,10000000,90,1000000,50000,,,,,,,,Maximum stress
D3,1000000,999999,1000000,50,20000,50000,,,,,,,,TGE warning
D4,1000000,1,100,99,20000,50000,,,,,,,,Invalid halving
D5,1000000,1,20000000,25,100000,50000,,,,,,,,Unreachable epochs
